epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,13222.6,0.39465,0.27667,0.94632,0.99833,0.99001,0.99498,0.98742,0.19254,0.1475,0.81469,0.00033713,0.00033713,0.00033713
122,13332.8,0.38985,0.27141,0.94663,0.99791,0.98892,0.99496,0.98376,0.19101,0.14556,0.81378,0.000329661,0.000329661,0.000329661
123,13443.3,0.39432,0.27582,0.94975,0.99854,0.99045,0.99498,0.98518,0.18761,0.14087,0.81408,0.000322235,0.000322235,0.000322235
124,13554.2,0.392,0.27589,0.95293,0.99874,0.98936,0.99498,0.98272,0.18807,0.14187,0.81981,0.000314855,0.000314855,0.000314855
125,13664.8,0.38995,0.26993,0.94873,0.99874,0.99054,0.99499,0.98415,0.19083,0.13746,0.81448,0.000307521,0.000307521,0.000307521
126,13774.6,0.38882,0.27189,0.94811,0.99847,0.98983,0.99498,0.98625,0.18503,0.13633,0.8142,0.000300235,0.000300235,0.000300235
127,13883.4,0.38193,0.26806,0.94415,0.99833,0.99124,0.99499,0.98468,0.18683,0.13753,0.81486,0.000293,0.000293,0.000293
128,13992.5,0.37636,0.26815,0.93925,0.9975,0.99024,0.99498,0.98627,0.18442,0.13747,0.81422,0.000285817,0.000285817,0.000285817
129,14101.9,0.37786,0.26936,0.94088,0.99866,0.98962,0.99499,0.98577,0.18984,0.1391,0.81609,0.000278689,0.000278689,0.000278689
130,14210.5,0.37643,0.26851,0.9432,0.99874,0.98847,0.99497,0.98566,0.17959,0.13712,0.81402,0.000271616,0.000271616,0.000271616
131,14319.1,0.37723,0.26834,0.94646,0.99827,0.989,0.99497,0.98436,0.18243,0.14114,0.81259,0.000264601,0.000264601,0.000264601
132,14428.4,0.37157,0.26208,0.93609,0.99853,0.98952,0.99498,0.98578,0.17942,0.13334,0.81262,0.000257645,0.000257645,0.000257645
133,14537.1,0.37277,0.26264,0.93975,0.99814,0.99004,0.99499,0.98519,0.1789,0.13219,0.81295,0.00025075,0.00025075,0.00025075
134,14646.5,0.37476,0.26399,0.94238,0.99882,0.98962,0.99498,0.97998,0.20157,0.13516,0.81838,0.000243918,0.000243918,0.000243918
135,14756.4,0.36396,0.2541,0.93524,0.99752,0.98983,0.99497,0.98671,0.17316,0.13099,0.81392,0.000237151,0.000237151,0.000237151
136,14865.9,0.36466,0.26073,0.93492,0.99829,0.99004,0.99499,0.9858,0.17059,0.12856,0.80957,0.00023045,0.00023045,0.00023045
137,14975,0.36798,0.26115,0.93904,0.99831,0.98983,0.99498,0.98682,0.17498,0.12906,0.8107,0.000223817,0.000223817,0.000223817
138,15084.5,0.36322,0.25756,0.93373,0.99814,0.99087,0.99499,0.98708,0.17733,0.13132,0.81283,0.000217254,0.000217254,0.000217254
139,15193,0.35901,0.25422,0.93444,0.99828,0.99004,0.99498,0.98731,0.17074,0.12986,0.81118,0.000210762,0.000210762,0.000210762
140,15302.9,0.35959,0.25601,0.93919,0.99895,0.98977,0.99499,0.98542,0.17691,0.13003,0.81216,0.000204342,0.000204342,0.000204342
141,15411.3,0.3654,0.26097,0.93673,0.99812,0.99028,0.99498,0.98583,0.17588,0.13209,0.81096,0.000197998,0.000197998,0.000197998
142,15519,0.35532,0.25452,0.93225,0.99865,0.99087,0.99499,0.98665,0.17063,0.12859,0.81113,0.00019173,0.00019173,0.00019173
143,15628.2,0.36059,0.25615,0.93244,0.9986,0.99045,0.99499,0.9862,0.17255,0.12646,0.80985,0.000185539,0.000185539,0.000185539
144,15738.6,0.35461,0.25277,0.93633,0.99791,0.99092,0.99499,0.98672,0.169,0.12861,0.80844,0.000179428,0.000179428,0.000179428
145,15848,0.34937,0.25122,0.93332,0.99854,0.99089,0.99499,0.98661,0.17321,0.12773,0.81019,0.000173397,0.000173397,0.000173397
146,15958.7,0.35647,0.25234,0.93546,0.99812,0.99145,0.995,0.98593,0.17634,0.13385,0.81124,0.000167449,0.000167449,0.000167449
147,16068.7,0.34755,0.24764,0.92772,0.99854,0.99056,0.99499,0.98564,0.17275,0.13306,0.81143,0.000161585,0.000161585,0.000161585
148,16177.2,0.34543,0.24723,0.92858,0.9987,0.99066,0.99499,0.98627,0.16701,0.12642,0.80854,0.000155806,0.000155806,0.000155806
149,16287.3,0.35132,0.25173,0.93206,0.99729,0.99113,0.99499,0.98689,0.16313,0.12595,0.80762,0.000150113,0.000150113,0.000150113
150,16397.8,0.34292,0.24738,0.92837,0.99821,0.99045,0.99499,0.98865,0.16016,0.12471,0.80635,0.000144509,0.000144509,0.000144509
151,16507.5,0.34011,0.24358,0.92703,0.9977,0.99131,0.99499,0.98809,0.15688,0.12138,0.80555,0.000138995,0.000138995,0.000138995
152,16616.5,0.34544,0.24409,0.92518,0.9977,0.99087,0.99498,0.98823,0.16159,0.12201,0.80691,0.000133571,0.000133571,0.000133571
153,16725.6,0.33725,0.2446,0.92668,0.99901,0.99004,0.99499,0.98686,0.16266,0.12197,0.80802,0.00012824,0.00012824,0.00012824
154,16834.2,0.3383,0.24473,0.92507,0.99919,0.99066,0.995,0.98673,0.1603,0.12155,0.80752,0.000123003,0.000123003,0.000123003
155,16942.5,0.33639,0.24147,0.92437,0.99791,0.99138,0.99498,0.9869,0.16396,0.12232,0.8085,0.000117861,0.000117861,0.000117861
156,17051.8,0.33647,0.24276,0.92155,0.99756,0.99128,0.99498,0.98729,0.16356,0.12366,0.80699,0.000112815,0.000112815,0.000112815
157,17161.7,0.33306,0.24153,0.92362,0.99762,0.99128,0.99498,0.98806,0.16242,0.12301,0.80543,0.000107866,0.000107866,0.000107866
158,17271.4,0.33297,0.23803,0.92179,0.99791,0.99154,0.99499,0.9877,0.16169,0.12347,0.80554,0.000103017,0.000103017,0.000103017
159,17381.6,0.33123,0.24082,0.92007,0.99849,0.99128,0.99499,0.98688,0.16155,0.12219,0.80717,9.82675e-05,9.82675e-05,9.82675e-05
160,17491,0.33094,0.23682,0.92221,0.99812,0.99146,0.99499,0.98673,0.16186,0.12275,0.8053,9.36193e-05,9.36193e-05,9.36193e-05
161,17599.2,0.33054,0.24437,0.92491,0.99708,0.99198,0.99499,0.98746,0.15804,0.12064,0.80428,8.90735e-05,8.90735e-05,8.90735e-05
162,17708,0.32529,0.23465,0.91618,0.99739,0.99128,0.99499,0.98722,0.16457,0.12003,0.80646,8.46314e-05,8.46314e-05,8.46314e-05
163,17817,0.32243,0.2299,0.91931,0.99802,0.99128,0.99499,0.9875,0.1585,0.11824,0.8048,8.02939e-05,8.02939e-05,8.02939e-05
164,17926.3,0.32589,0.23733,0.91717,0.99805,0.99045,0.99499,0.987,0.15773,0.11794,0.80503,7.60621e-05,7.60621e-05,7.60621e-05
165,18035.9,0.3292,0.23789,0.92189,0.9981,0.99108,0.99499,0.98684,0.15468,0.11678,0.80506,7.19373e-05,7.19373e-05,7.19373e-05
166,18145.5,0.3187,0.23027,0.91735,0.99839,0.99108,0.99499,0.98705,0.15511,0.1166,0.80489,6.79203e-05,6.79203e-05,6.79203e-05
167,18254.5,0.32148,0.2351,0.92075,0.99863,0.99128,0.99499,0.98739,0.15619,0.11718,0.80438,6.40122e-05,6.40122e-05,6.40122e-05
168,18364.9,0.3181,0.22983,0.91878,0.99905,0.99128,0.99499,0.98711,0.15384,0.11658,0.80383,6.0214e-05,6.0214e-05,6.0214e-05
169,18474,0.31806,0.22838,0.92117,0.99895,0.99105,0.99499,0.98732,0.15156,0.11511,0.80378,5.65267e-05,5.65267e-05,5.65267e-05
170,18583.2,0.32409,0.22955,0.92189,0.99916,0.99149,0.99499,0.98709,0.15503,0.11622,0.80477,5.29511e-05,5.29511e-05,5.29511e-05
171,18692.7,0.3135,0.22585,0.9151,0.99875,0.9913,0.99499,0.98729,0.15734,0.11602,0.80528,4.94882e-05,4.94882e-05,4.94882e-05
172,18801.7,0.31801,0.22618,0.91751,0.9983,0.99232,0.99499,0.9872,0.15556,0.11503,0.80545,4.61388e-05,4.61388e-05,4.61388e-05
173,18911.4,0.31586,0.23136,0.91623,0.99875,0.99213,0.99499,0.98725,0.15814,0.11525,0.80584,4.29038e-05,4.29038e-05,4.29038e-05
174,19020.4,0.31944,0.23058,0.92086,0.99833,0.9917,0.99499,0.98732,0.15662,0.11494,0.8055,3.9784e-05,3.9784e-05,3.9784e-05
175,19128,0.31822,0.2302,0.91744,0.99902,0.99149,0.99499,0.98767,0.1583,0.11533,0.80581,3.67802e-05,3.67802e-05,3.67802e-05
176,19236.9,0.31326,0.22588,0.917,0.99895,0.99124,0.99499,0.98761,0.15576,0.1146,0.80558,3.38931e-05,3.38931e-05,3.38931e-05
177,19345.2,0.31004,0.22033,0.91563,0.99854,0.99231,0.995,0.98752,0.15696,0.11454,0.8058,3.11235e-05,3.11235e-05,3.11235e-05
178,19453.8,0.30695,0.22154,0.91339,0.99818,0.99211,0.99499,0.98749,0.15452,0.11318,0.80532,2.84721e-05,2.84721e-05,2.84721e-05
